"count","level_text","province_code"
243,"Applied computing",11
12,"Applied computing+Arts and humanities",11
2,"Applied computing+Computer forensics",11
37,"Applied computing+Computers in other domains",11
10,"Applied computing+Document management and text processing",11
67,"Applied computing+Education",11
30,"Applied computing+Electronic commerce",11
29,"Applied computing+Enterprise computing",11
34,"Applied computing+Law, social and behavioral sciences",11
141,"Applied computing+Life and medical sciences",11
91,"Applied computing+Operations research",11
108,"Applied computing+Physical sciences and engineering",11
185,"Computer systems organization",11
208,"Computer systems organization+Architectures",11
52,"Computer systems organization+Dependable and fault-tolerant systems and networks",11
190,"Computer systems organization+Embedded and cyber-physical systems",11
13,"Computer systems organization+Real-time systems",11
856,"Computing methodologies",11
1550,"Computing methodologies+Artificial intelligence",11
223,"Computing methodologies+Computer graphics",11
2,"Computing methodologies+Concurrent computing methodologies",11
12,"Computing methodologies+Distributed computing methodologies",11
955,"Computing methodologies+Machine learning",11
182,"Computing methodologies+Modeling and simulation",11
43,"Computing methodologies+Parallel computing methodologies",11
45,"Computing methodologies+Symbolic and algebraic manipulation",11
62,"General and reference",11
98,"General and reference+Cross-computing tools and techniques",11
36,"General and reference+Document types",11
102,"Hardware",11
66,"Hardware+Communication hardware, interfaces and storage",11
19,"Hardware+Electronic design automation",11
29,"Hardware+Emerging technologies",11
3,"Hardware+Hardware validation",11
74,"Hardware+Integrated circuits",11
60,"Hardware+Power and energy",11
4,"Hardware+Robustness",11
17,"Hardware+Very large scale integration design",11
168,"Human-centered computing",11
4,"Human-centered computing+Accessibility",11
58,"Human-centered computing+Collaborative and social computing",11
231,"Human-centered computing+Human computer interaction (HCI)",11
67,"Human-centered computing+Interaction design",11
110,"Human-centered computing+Ubiquitous and mobile computing",11
41,"Human-centered computing+Visualization",11
434,"Information systems",11
129,"Information systems+Data management systems",11
547,"Information systems+Information retrieval",11
21,"Information systems+Information storage systems",11
549,"Information systems+Information systems applications",11
208,"Information systems+World Wide Web",11
98,"Mathematics of computing",11
3,"Mathematics of computing+Continuous mathematics",11
57,"Mathematics of computing+Discrete mathematics",11
5,"Mathematics of computing+Information theory",11
133,"Mathematics of computing+Mathematical analysis",11
6,"Mathematics of computing+Mathematical software",11
72,"Mathematics of computing+Probability and statistics",11
302,"Networks",11
77,"Networks+Network algorithms",11
44,"Networks+Network architectures",11
20,"Networks+Network components",11
64,"Networks+Network performance evaluation",11
