"count","level_text","province_code"
58,"Applied computing",11
5,"Applied computing+Arts and humanities",11
5,"Applied computing+Computer forensics",11
5,"Applied computing+Computers in other domains",11
2,"Applied computing+Document management and text processing",11
12,"Applied computing+Education",11
5,"Applied computing+Electronic commerce",11
7,"Applied computing+Enterprise computing",11
14,"Applied computing+Law, social and behavioral sciences",11
71,"Applied computing+Life and medical sciences",11
8,"Applied computing+Operations research",11
9,"Applied computing+Physical sciences and engineering",11
48,"Computer systems organization",11
74,"Computer systems organization+Architectures",11
32,"Computer systems organization+Dependable and fault-tolerant systems and networks",11
43,"Computer systems organization+Embedded and cyber-physical systems",11
2,"Computer systems organization+Real-time systems",11
216,"Computing methodologies",11
337,"Computing methodologies+Artificial intelligence",11
48,"Computing methodologies+Computer graphics",11
9,"Computing methodologies+Distributed computing methodologies",11
298,"Computing methodologies+Machine learning",11
20,"Computing methodologies+Modeling and simulation",11
2,"Computing methodologies+Parallel computing methodologies",11
19,"Computing methodologies+Symbolic and algebraic manipulation",11
15,"General and reference",11
21,"General and reference+Cross-computing tools and techniques",11
8,"General and reference+Document types",11
25,"Hardware",11
17,"Hardware+Communication hardware, interfaces and storage",11
6,"Hardware+Emerging technologies",11
1,"Hardware+Hardware test",11
1,"Hardware+Hardware validation",11
24,"Hardware+Integrated circuits",11
3,"Hardware+Power and energy",11
11,"Hardware+Robustness",11
4,"Hardware+Very large scale integration design",11
84,"Human-centered computing",11
8,"Human-centered computing+Accessibility",11
29,"Human-centered computing+Collaborative and social computing",11
146,"Human-centered computing+Human computer interaction (HCI)",11
18,"Human-centered computing+Interaction design",11
44,"Human-centered computing+Ubiquitous and mobile computing",11
23,"Human-centered computing+Visualization",11
204,"Information systems",11
86,"Information systems+Data management systems",11
332,"Information systems+Information retrieval",11
11,"Information systems+Information storage systems",11
139,"Information systems+Information systems applications",11
112,"Information systems+World Wide Web",11
19,"Mathematics of computing",11
29,"Mathematics of computing+Discrete mathematics",11
17,"Mathematics of computing+Mathematical analysis",11
3,"Mathematics of computing+Mathematical software",11
10,"Mathematics of computing+Probability and statistics",11
49,"Networks",11
14,"Networks+Network algorithms",11
3,"Networks+Network architectures",11
6,"Networks+Network components",11
18,"Networks+Network performance evaluation",11
28,"Networks+Network properties",11
15,"Networks+Network protocols",11
18,"Networks+Network services",11
26,"Networks+Network types",11
44,"Security and privacy",11
2,"Security and privacy+Cryptography",11
1,"Security and privacy+Database and storage security",11
7,"Security and privacy+Formal methods and theory of security",11
16,"Security and privacy+Human and societal aspects of security and privacy",11
13,"Security and privacy+Intrusion/anomaly detection and malware mitigation",11
6,"Security and privacy+Network security",11
7,"Security and privacy+Security in hardware",11
12,"Security and privacy+Security services",11
20,"Security and privacy+Software and application security",11
14,"Security and privacy+Systems security",11
17,"Social and professional topics",11
8,"Social and professional topics+Computing / technology policy",11
30,"Social and professional topics+Professional topics",11
5,"Social and professional topics+User characteristics",11
32,"Software and its engineering",11
61,"Software and its engineering+Software creation and management",11
14,"Software and its engineering+Software notations and tools",11
34,"Software and its engineering+Software organization and properties",11
58,"Theory of computation",11
10,"Theory of computation+Computational complexity and cryptography",11
75,"Theory of computation+Design and analysis of algorithms",11
4,"Theory of computation+Formal languages and automata theory",11
2,"Theory of computation+Logic",11
10,"Theory of computation+Models of computation",11
6,"Theory of computation+Randomness, geometry and discrete structures",11
3,"Theory of computation+Semantics and reasoning",11
76,"Theory of computation+Theory and algorithms for application domains",11
3,"Applied computing",12
1,"Applied computing+Education",12
3,"Applied computing+Enterprise computing",12
1,"Applied computing+Life and medical sciences",12
1,"Computer systems organization",12
1,"Computer systems organization+Dependable and fault-tolerant systems and networks",12
10,"Computing methodologies",12
19,"Computing methodologies+Artificial intelligence",12
14,"Computing methodologies+Machine learning",12
3,"Computing methodologies+Parallel computing methodologies",12
2,"General and reference",12
5,"General and reference+Cross-computing tools and techniques",12
4,"General and reference+Document types",12
2,"Hardware",12
3,"Hardware+Communication hardware, interfaces and storage",12
2,"Human-centered computing",12
5,"Human-centered computing+Human computer interaction (HCI)",12
9,"Information systems",12
8,"Information systems+Data management systems",12
12,"Information systems+Information retrieval",12
6,"Information systems+Information systems applications",12
1,"Networks",12
1,"Networks+Network performance evaluation",12
2,"Networks+Network types",12
4,"Security and privacy",12
3,"Security and privacy+Cryptography",12
2,"Security and privacy+Database and storage security",12
2,"Security and privacy+Formal methods and theory of security",12
2,"Software and its engineering",12
9,"Software and its engineering+Software creation and management",12
2,"Software and its engineering+Software notations and tools",12
1,"Theory of computation",12
4,"Theory of computation+Theory and algorithms for application domains",12
2,"Applied computing",13
4,"Applied computing+Physical sciences and engineering",13
5,"Computer systems organization",13
1,"Computer systems organization+Dependable and fault-tolerant systems and networks",13
8,"Computer systems organization+Embedded and cyber-physical systems",13
1,"Computing methodologies",13
3,"Computing methodologies+Parallel computing methodologies",13
1,"Hardware",13
1,"Hardware+Hardware test",13
1,"Information systems",13
3,"Information systems+Information retrieval",13
2,"Mathematics of computing",13
4,"Mathematics of computing+Information theory",13
1,"Networks",13
2,"Networks+Network protocols",13
1,"Security and privacy",13
2,"Security and privacy+Human and societal aspects of security and privacy",13
1,"Software and its engineering",13
3,"Software and its engineering+Software creation and management",13
1,"Computing methodologies",14
3,"Computing methodologies+Artificial intelligence",14
4,"Computing methodologies+Machine learning",14
3,"Computing methodologies+Modeling and simulation",14
1,"Applied computing",15
2,"Applied computing+Arts and humanities",15
3,"Computing methodologies",15
11,"Computing methodologies+Artificial intelligence",15
1,"Information systems",15
3,"Information systems+Information retrieval",15
1,"Software and its engineering",15
3,"Software and its engineering+Software creation and management",15
4,"Applied computing",21
2,"Applied computing+Education",21
6,"Applied computing+Life and medical sciences",21
2,"Applied computing+Physical sciences and engineering",21
2,"Computer systems organization",21
2,"Computer systems organization+Dependable and fault-tolerant systems and networks",21
4,"Computer systems organization+Embedded and cyber-physical systems",21
1,"Computer systems organization+Real-time systems",21
16,"Computing methodologies",21
17,"Computing methodologies+Artificial intelligence",21
9,"Computing methodologies+Computer graphics",21
23,"Computing methodologies+Machine learning",21
8,"Computing methodologies+Modeling and simulation",21
3,"Hardware",21
4,"Hardware+Communication hardware, interfaces and storage",21
3,"Hardware+Robustness",21
